id,name,display_name,authorization_endpoint,token_endpoint,revoke_endpoint,discovery_endpoint,scopes_supported,pkce_required,client_credentials_location,is_enabled,configuration_metadata,created_at,updated_at
0c7b6768-e384-4063-ae83-4612ccdf259a,serper_api,Serper API,https://serper.dev,https://serper.dev,,,"[""web_search"",""news_search"",""scrape_and_summarize""]",true,header,true,,2025-08-02 12:42:06.652468+00,2025-08-02 12:42:06.652468+00
5e139d92-704f-40a3-a0e5-a9602860166a,digitalocean,DigitalOcean,https://cloud.digitalocean.com/v1/oauth/authorize,https://cloud.digitalocean.com/v1/oauth/token,,,"[""droplet:read"",""droplet:create"",""droplet:delete"",""image:read"",""region:read"",""size:read""]",false,header,true,"{""icon_url"":""https://www.digitalocean.com/favicon.ico"",""description"":""API key based authentication for DigitalOcean"",""provider_type"":""api_key""}",2025-08-27 00:44:40.699677+00,2025-08-27 00:44:40.699677+00
61ca1a0f-41f2-4fda-9a5e-cd27d170dce5,pinecone,Pinecone,,,,,[],true,header,true,"{""credential_type"":""api_key""}",2025-08-16 18:13:37.055014+00,2025-08-16 18:13:37.055014+00
67e1ab01-cb53-4f26-ae94-72e053699776,microsoft,Microsoft,https://login.microsoftonline.com/common/oauth2/v2.0/authorize,https://login.microsoftonline.com/common/oauth2/v2.0/token,,,"[""openid"",""profile"",""email"",""User.Read"",""Files.Read"",""Mail.Read"",""Calendars.Read"",""Tasks.Read""]",true,header,true,"{""client_id_env"":""MICROSOFT_CLIENT_ID"",""client_secret_env"":""MICROSOFT_CLIENT_SECRET""}",2025-06-07 19:09:17.598443+00,2025-06-07 19:09:17.598443+00
6a4e73f4-ac6e-4901-ad87-4f9473b1aefc,serpapi,SerpAPI,https://serpapi.com,https://serpapi.com,,,"[""web_search"",""news_search"",""scrape_and_summarize""]",true,header,true,,2025-08-02 12:42:06.652468+00,2025-08-02 12:42:06.652468+00
725445d1-46d2-4836-8af7-13f1020b7332,discord,Discord,https://discord.com/api/oauth2/authorize,https://discord.com/api/oauth2/token,,,"[""bot"",""identify"",""guilds"",""messages.read"",""messages.write"",""applications.commands""]",true,header,true,"{""icon_url"":""https://discord.com/assets/f9bb9c4af2b9c32a2c5ee0014661546d.png""}",2025-08-27 00:44:40.699677+00,2025-08-27 00:44:40.699677+00
854ffac4-58fe-476d-9fb7-ebeb24c56d0c,brave_search,Brave Search API,https://api.search.brave.com,https://api.search.brave.com,,,"[""web_search"",""news_search"",""scrape_and_summarize""]",true,header,true,,2025-08-02 12:42:06.652468+00,2025-08-02 12:42:06.652468+00
85a863c7-c7f2-4a57-9c65-a1b58e945d50,mailgun,Mailgun,https://api.mailgun.net/v3,https://api.mailgun.net/v3,,,"[""send_email"",""email_validation"",""email_stats"",""suppression_management""]",false,header,true,"{""api_key_url"":""https://app.mailgun.com/app/account/security/api_keys"",""description"":""Powerful email service with validation""}",2025-08-11 04:36:50.147134+00,2025-08-27 04:19:15.314832+00
93451b72-7742-4f9f-8fc0-08b0fcdaa8e7,gmail,Gmail,https://accounts.google.com/o/oauth2/v2/auth,https://oauth2.googleapis.com/token,,https://accounts.google.com/.well-known/openid-configuration,"[""https://www.googleapis.com/auth/gmail.readonly"",""https://www.googleapis.com/auth/gmail.send"",""https://www.googleapis.com/auth/userinfo.email"",""https://www.googleapis.com/auth/userinfo.profile""]",true,header,true,,2025-07-12 00:59:29.757555+00,2025-07-12 00:59:29.757555+00
a678fea1-bbd1-4c6c-ba92-487764e3e0d6,google,Google,https://accounts.google.com/o/oauth2/v2/auth,https://oauth2.googleapis.com/token,,,"[""openid"",""email"",""profile"",""https://www.googleapis.com/auth/drive"",""https://www.googleapis.com/auth/gmail.readonly"",""https://www.googleapis.com/auth/calendar"",""https://www.googleapis.com/auth/youtube.readonly""]",true,header,true,"{""client_id_env"":""GOOGLE_CLIENT_ID"",""client_secret_env"":""GOOGLE_CLIENT_SECRET""}",2025-06-07 19:09:17.598443+00,2025-06-07 19:09:17.598443+00
